Vattentemperatur,E. coli,E. coli prefix,Intestinala enterokocker prefix,Intestinala enterokocker,Eu-bad,Län,Kommun,Badplats,Latitud,Longitud,Badplatstyp,Datum,Vädertyp,Kvalitet,Algblomning
"15,5",10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000000316""  target = ""_blank"">Vikingstrand</a>","56,0712970132467","12,6682506336133",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"15,8",10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000000317""  target = ""_blank"">Larödbaden</a>","56,0885247478766","12,6461142017162",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
16,10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000000318""  target = ""_blank"">Hittarp</a>","56,0963320196092","12,6351851257026",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"13,9",10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000000319""  target = ""_blank"">Domsten</a>","56,1170617041903","12,6027554687472",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
14,10,<,<,10,N,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000000320""  target = ""_blank"">Utvälinge</a>","56,224","12,78",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"16,2",10,=,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000003890""  target = ""_blank"">Fria bad</a>","56,0579468897119","12,6804176204359",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"15,1",10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000003890""  target = ""_blank"">Fria bad</a>","56,0579468897119","12,6804176204359",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"16,2",10,=,<,10,N,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000004056""  target = ""_blank"">Örby ängar norr</a>","55,9885632723018","12,7480647507858",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"14,7",10,<,<,10,N,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000004057""  target = ""_blank"">Parapeten</a>","56,0446168329138","12,6863129605851",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"14,7",10,<,<,10,N,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000004057""  target = ""_blank"">Parapeten</a>","56,0446168329138","12,6863129605851",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"15,3",10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000004404""  target = ""_blank"">Järnvägsmännens brygga</a>","56,0536013752486","12,6826964634182",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"14,5",10,<,<,10,J,Skåne,Helsingborg,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441283000004404""  target = ""_blank"">Järnvägsmännens brygga</a>","56,0536013752486","12,6826964634182",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
18,1,=,<,10,N,Skåne,Höör,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441267000000405""  target = ""_blank"">Dagstorpssjön Västra</a>","55,991389642612","13,4901965729341",Sjö,2023-05-23 00:00:00,Regnskurar,Tjänligt,Ingen blomning
18,1,=,<,10,N,Skåne,Höör,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441267000000407""  target = ""_blank"">Tjörnarpssjön</a>","55,9964454473915","13,6251048213027",Sjö,2023-05-23 00:00:00,Regnskurar,Tjänligt,Ingen blomning
16,3,=,<,10,N,Skåne,Höör,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441267000001340""  target = ""_blank"">Gamla Boo</a>","55,8730342491086","13,4910847165758",Sjö,2023-05-23 00:00:00,Regnskurar,Tjänligt,Ingen blomning
18,5,=,<,10,N,Skåne,Höör,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441267000003768""  target = ""_blank"">Ö:a Ringsjön, Sätofta bad- och båtplats</a>","55,904670501164","13,5551543421015",Sjö,2023-05-23 00:00:00,Regnskurar,Tjänligt,Ingen blomning
18,10,=,<,10,N,Skåne,Höör,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441267000003910""  target = ""_blank"">Vaxsjön</a>","55,9698169723266","13,5223307390517",Sjö,2023-05-23 00:00:00,Regnskurar,Tjänligt,Ingen blomning
18,3,=,<,10,N,Skåne,Höör,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441267000004429""  target = ""_blank"">Dagstorpssjön Östra</a>","55,987995","13,499696",Sjö,2023-05-23 00:00:00,Regnskurar,Tjänligt,Ingen blomning
15,20,=,<,10,J,Skåne,Lomma,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441262000000321""  target = ""_blank"">Hamnhusen, T-bryggan</a>","55,6725","13,0595",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
16,10,<,<,10,J,Skåne,Lomma,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441262000000324""  target = ""_blank"">Långa Bryggan i Bjärred</a>","55,7108830968761","13,0235178512763",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
15,10,<,<,10,J,Skåne,Lomma,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441262000000325""  target = ""_blank"">Habo Ljungs camping</a>","55,6887888","13,055194",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
16,63,=,<,10,J,Skåne,Lomma,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441262000000326""  target = ""_blank"">Lomma Norra</a>","55,6783","13,0571",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"13,2",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000000064""  target = ""_blank"">Klagshamns badplats</a>","55,5251","12,8955",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"10,9",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000000064""  target = ""_blank"">Klagshamns badplats</a>","55,5251","12,8955",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
"15,8",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000000066""  target = ""_blank"">Sibbarp</a>","55,57685","12,9094",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
11,10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000000066""  target = ""_blank"">Sibbarp</a>","55,57685","12,9094",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
"15,3",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000000072""  target = ""_blank"">Ribersborg</a>","55,602685","12,957746",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"10,1",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000000072""  target = ""_blank"">Ribersborg</a>","55,602685","12,957746",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
"13,6",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000004366""  target = ""_blank"">Scaniabadplatsen, Djuphavsbadet</a>","55,6174","12,9739",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"9,8",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000004366""  target = ""_blank"">Scaniabadplatsen, Djuphavsbadet</a>","55,6174","12,9739",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
"13,9",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000004499""  target = ""_blank"">Sundspromenaden</a>","55,6132973689428","12,9712990141911",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"9,5",10,<,<,10,J,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000004499""  target = ""_blank"">Sundspromenaden</a>","55,6132973689428","12,9712990141911",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
"16,1",10,<,<,10,N,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000006160""  target = ""_blank"">Yttre Barnviken, Sibbarp</a>","55,571746","12,900125",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
"12,3",10,<,<,10,N,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000006160""  target = ""_blank"">Yttre Barnviken, Sibbarp</a>","55,571746","12,900125",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
"16,8",10,<,<,10,N,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000006161""  target = ""_blank"">Öresunds Funkis</a>","55,598961","12,948882",Hav,2023-05-22 00:00:00,Klart,Tjänligt,Ingen blomning
11,10,<,<,10,N,Skåne,Malmö,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441280000006161""  target = ""_blank"">Öresunds Funkis</a>","55,598961","12,948882",Hav,2023-05-08 00:00:00,Klart,Tjänligt,Ingen blomning
13,488,=,=,60,N,Skåne,Sjöbo,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441265000000040""  target = ""_blank"">Östra Vombsjön</a>","55,6821646424947","13,6249295370578",Sjö,2023-05-16 00:00:00,Mulet,Tjänligt m. Anm.,Ingen blomning
16,2,=,<,10,N,Skåne,Sjöbo,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441265000000041""  target = ""_blank"">Sövdesjön</a>","55,5885542237551","13,6659777932188",Sjö,2023-05-16 00:00:00,Mulet,Tjänligt,Ingen blomning
16,1,<,<,10,N,Skåne,Svedala,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441263000000099""  target = ""_blank"">Pudesjö</a>","55,5770054001349","13,2507703473598",Sjö,2023-05-16 00:00:00,Ingen uppgift,Tjänligt,Ingen blomning
"11,7",1,<,<,10,J,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000000022""  target = ""_blank"">Kämpinge strandbad</a>","55,401737","12,964811",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"13,7",1,<,<,10,J,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000000023""  target = ""_blank"">Ljungskogens strandbad</a>","55,39027","12,934299",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"16,2",1,=,<,10,J,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000000024""  target = ""_blank"">Falsterbo strandbad</a>","55,387058","12,839863",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"16,4",2,=,<,10,J,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000000026""  target = ""_blank"">Skanörs Havsbad</a>","55,413858","12,82671",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"17,5",2,=,<,10,N,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000000027""  target = ""_blank"">Kanalbadet</a>","55,413669","12,93418",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"14,2",1,<,<,10,N,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000004403""  target = ""_blank"">Handikappbadet</a>","55,397329","12,944282",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"15,7",4,=,<,10,N,Skåne,Vellinge,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0441233000005497""  target = ""_blank"">Stens brygga</a>","55,416729","12,831055",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
10,1,<,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002154""  target = ""_blank"">Arkadien</a>","59,7366","18,3555",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
"10,5",1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002155""  target = ""_blank"">Sandbanken</a>","59,7380884898406","18,3473002997592",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
17,1,<,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002156""  target = ""_blank"">Lommaren</a>","59,7582908895815","18,6745975486929",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"10,5",1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002157""  target = ""_blank"">Malsta</a>","59,7693526953725","18,6408210092466",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
10,1,=,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002159""  target = ""_blank"">Erken, Svanberga</a>","59,8373","18,6546",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
14,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002164""  target = ""_blank"">Bergshamra, Mora</a>","59,6336604740253","18,6648382020175",Hav,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
14,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002165""  target = ""_blank"">Largen</a>","59,5947797357825","18,5295565051688",Sjö,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
14,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002167""  target = ""_blank"">Rådmansö, Åkeröbadet</a>","59,7335060772879","18,9339894790894",Hav,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
13,4,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002168""  target = ""_blank"">Spillersboda, Spillersbodabade</a>","59,7028285635319","18,8635811114769",Hav,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
12,3,=,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002171""  target = ""_blank"">Lundabadet</a>","59,7724049244847","18,8067159402444",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
12,16,=,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002172""  target = ""_blank"">Kärleksudden</a>","59,7525943152021","18,7292876371149",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"11,5",1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002173""  target = ""_blank"">Vängsjön</a>","59,7736502590441","18,1238486140644",Sjö,2023-05-19 00:00:00,Klart,Tjänligt,Ingen blomning
11,3,=,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002175""  target = ""_blank"">Blidö, Rådmansholmen</a>","59,6219","18,944",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
15,3,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002176""  target = ""_blank"">Vätö, Håknäs (Sandviken)</a>","59,7900760324612","18,9348325478562",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002177""  target = ""_blank"">Rånäs, Lindbacken</a>","59,8114404307719","18,3154448231058",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
13,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002182""  target = ""_blank"">Solöbadet</a>","59,6773370618009","18,7609102635335",Hav,2023-06-01 00:00:00,Klart,Tjänligt,Ingen blomning
11,1,<,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002184""  target = ""_blank"">Gisen</a>","59,8801","18,4975",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000003622""  target = ""_blank"">Nysättra badet</a>","59,8132704325141","18,9036588706008",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
11,1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000004894""  target = ""_blank"">Gillfjärden</a>","59,7980612529075","18,7316887240469",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
11,4,=,=,80,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000004934""  target = ""_blank"">Österviken</a>","59,661241","18,942417",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000005094""  target = ""_blank"">Gunnsjön</a>","59,644934","18,612045",Sjö,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
14,5,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000005455""  target = ""_blank"">Lågarö-Örn</a>","59,7737","18,9346",Hav,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
14,26,=,=,390,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001831""  target = ""_blank"">Långholmens klippbad, Mälaren</a>","59,322809","18,034695",Sjö,2023-05-29 00:00:00,Klart,Otjänligt,Ingen blomning
14,15,=,=,50,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001832""  target = ""_blank"">Långholmens strandbad, Mälaren</a>","59,321979","18,02413",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
13,5,=,=,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001845""  target = ""_blank"">Smedsuddsbadet V, Mälaren</a>","59,325144","18,020883",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,3,=,=,20,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001846""  target = ""_blank"">Smedsuddsbadet Ö, Mälaren</a>","59,325","18,0216",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
13,1,=,=,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001863""  target = ""_blank"">Ekhagens strandbad</a>","59,372523","18,069107",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,1,<,<,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001864""  target = ""_blank"">Brunnsvikens Strandbad</a>","59,3618","18,0485",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
